NumLinha;Tipo BW  /PBI;NomeLink;linkarquivo;QualPagina;TipoBW;AbaNome;#
1;BW;**Faturamento COPA**;VM_PA1_O_00000_002;Corporate;Query;COPA;#
2;BW;Faturamento COPA (a partir 04/2021);VM_PA1_O_00000_002_NEW;Corporate;Query;COPA;#
3;BW;Análise de Faturamento - Comparativo;VM_WT_SD03_018;Corporate;Template;COPA;#
4;BW;**Acompanhamento de Margem - COPA**;VM_WD_PAF_006;Corporate;Template;COPA;#
5;BW;**Resultado Operacional - COPA**;VM_WD_PAF_C_001;Corporate;Template;COPA;#
6;BW;Resultado Operacional - COPA (a partir 04/2021);VM_WD_PAF_C_001_NEw;Corporate;Template;COPA;#
7;BW;Flash faturamento;VM_WD_FLASH_001;Corporate;Template;Corporate;#
8;BW;Faturados n/ Embarcados;VM_WD_EXSD_I_00000_01;Corporate;Template;Corporate;#
9;BW;Margem Backlog;VM_SDBL_M_00000_004;Corporate;Query;Corporate;#
10;BW;Análise de Faturamento - Perí­odo Único;VM_WT_SD03_019;Corporate;Template;Corporate;#
11;BW;Curva ABC Clientes;VM_SD03_C_00000_011_4;Gestao CD;Query;Gestao CD;#
12;BW;Análise Entrada de Pedidos;VM_SD03_C_00000_013_1;Gestao CD;Query;Gestao CD;#
13;BW;Consulta de Pedidos;VM_SD03_C_00000_013_3;Gestao CD;Query;Gestao CD;#
14;BW;Faturamento CD;VM_WT_SD03_001;Gestao CD;Template;Gestao CD;#
15;BW;Estoque Terceiro (Bohler);VM_MMIC_C_00000_030;Gestao CD;Query;Gestao CD;#
16;BW;Blocos CD;VM_prcdo_00000_001;Gestao CD;Query;Gestao CD;#
17;BW;Analítico Cotações;VM_VMCSD05_6854_1;Gestao CD;Query;Gestao CD;#
18;BW;Acompanhamento de Pedidos;VM_PRCDC_00000_002;Gestao CD;Query;Gestao CD;#
19;BW;Analítico de Produção CD;VM_PRCDC_00000_002;Gestao CD;Query;Gestao CD;#
20;BW;Mapa de Folga CD;VM_DICDC_00000_002;Gestao CD;Query;Gestao CD;#
21;BW;Resumo Produção CD por Nave;VM_PRCDM_00000_002;Gestao CD;Query;Gestao CD;#
22;BW;Giro de Estoque;VM_IC1_M_00000_014;Gestao CD;Query;Gestao CD;#
23;BW;Cobertura de Estoque;VM_IC1_M_00000_014;Gestao CD;Query;Gestao CD;#
24;PBI;Acompanhamento - Pedidos Contratos;https://app.powerbi.com/groups/993a0166-b6bc-4ac8-a43b-9bfe6cfc0c50/reports/060e6f15-03dd-454e-b72b-533a5e6887cf?ctid=71d12869-2d8b-44a6-95c2-f7f076008aa9&pbi_source=linkShare;Compras;PBI;Compras;#
25;PBI;Acompanhamento Preços Sucatas;https://app.powerbi.com/groups/993a0166-b6bc-4ac8-a43b-9bfe6cfc0c50/reports/59088d5f-cee9-4721-b149-dd4586a5a4c9?ctid=71d12869-2d8b-44a6-95c2-f7f076008aa9&pbi_source=linkShare;Compras;PBI;Compras;#
27;PBI;Contratos e Programa de Remessa;https://app.powerbi.com/groups/993a0166-b6bc-4ac8-a43b-9bfe6cfc0c50/reports/7c0cd55a-1eca-446a-b0b8-e930db7db95b?ctid=71d12869-2d8b-44a6-95c2-f7f076008aa9&pbi_source=linkShare;Compras;PBI;Compras;#
29;PBI;Inflação Interna ME;https://app.powerbi.com/groups/993a0166-b6bc-4ac8-a43b-9bfe6cfc0c50/reports/50220087-033c-4ad9-b9c7-ac56639a3e8f?ctid=71d12869-2d8b-44a6-95c2-f7f076008aa9&pbi_source=linkShare;Compras;PBI;Compras;#
30;PBI;Inflação Interna MI;https://app.powerbi.com/groups/993a0166-b6bc-4ac8-a43b-9bfe6cfc0c50/reports/159b8f50-f861-426f-b20b-05e79a4acb7c?ctid=71d12869-2d8b-44a6-95c2-f7f076008aa9&pbi_source=linkShare;Compras;PBI;Compras;#
31;PBI;Material Expenses;https://app.powerbi.com/groups/993a0166-b6bc-4ac8-a43b-9bfe6cfc0c50/reports/10de758b-2ac1-4cb6-864e-01a3e3a09fd2?ctid=71d12869-2d8b-44a6-95c2-f7f076008aa9&pbi_source=linkShare;Compras;PBI;Compras;#
32;PBI;Maverick Buying;https://app.powerbi.com/groups/993a0166-b6bc-4ac8-a43b-9bfe6cfc0c50/reports/40085e15-4d90-4c64-8a47-5a85d28584b4?ctid=71d12869-2d8b-44a6-95c2-f7f076008aa9&pbi_source=linkShare;Compras;PBI;Compras;#
33;PBI;Pedidos - Consignado, Simplificado e Industrialização e Fretes;https://app.powerbi.com/groups/993a0166-b6bc-4ac8-a43b-9bfe6cfc0c50/reports/10b12b57-516a-4963-b374-b50c8d086bba?ctid=71d12869-2d8b-44a6-95c2-f7f076008aa9&pbi_source=linkShare;Compras;PBI;Compras;#
34;PBI;Preços BOFC;https://app.powerbi.com/groups/993a0166-b6bc-4ac8-a43b-9bfe6cfc0c50/reports/c3b2c092-a812-427f-b847-798490721d5a?ctid=71d12869-2d8b-44a6-95c2-f7f076008aa9&pbi_source=linkShare;Compras;PBI;Compras;#
35;PBI;Spend Anaysis;https://app.powerbi.com/groups/993a0166-b6bc-4ac8-a43b-9bfe6cfc0c50/reports/44ff3072-b2b1-4fcd-a116-d1dafdf8e034?ctid=71d12869-2d8b-44a6-95c2-f7f076008aa9&pbi_source=linkShare;Compras;PBI;Compras;#
36;BW;Balanço BOFC acrescido c/ De para contas SAP e CC.;VM_WD_FI_003;Contabil Geral;Template;Contabil Geral;#
